80 000 000 000;8;Населенные пункты, входящие в состав муниципальных образований Республики Башкортостан
80 601 404 000;1;Населенные пункты, входящие в состав сельского поселения Альмухаметовский сельсовет Абзелиловского муниципального района
80 601 404 101;9;с Целинный
80 601 404 106;3;д Альмухаметово
80 601 404 111;8;д Булатово
80 601 404 116;2;д Верхнее Абдряшево
80 601 404 121;7;д Нижнее Абдряшево
80 601 404 126;1;д Северный
80 601 404 131;6;д станции Альмухаметово
80 601 404 136;0;д станции Сухое Озеро
80 601 404 141;5;д Уральский
80 601 407 000;1;Населенные пункты, входящие в состав сельского поселения Амангильдинский сельсовет Абзелиловского муниципального района
80 601 407 101;0;с Амангильдино
80 601 407 106;5;д Абдулгазино
80 601 407 111;4;д Казмашево
80 601 407 116;4;д Рыскужино
80 601 407 121;9;д Утяганово
80 601 410 000;7;Населенные пункты, входящие в состав сельского поселения Аскаровский сельсовет Абзелиловского муниципального района
80 601 410 101;6;с Аскарово
80 601 410 106;0;д Даутово
80 601 410 111;5;д Кулукасово
80 601 410 116;2;д Тирмен
80 601 410 121;4;д Ярлыкапово
80 601 410 126;9;х Айгырбаткан
80 601 413 000;9;Населенные пункты, входящие в состав сельского поселения Баимовский сельсовет Абзелиловского муниципального района
80 601 413 101;8;с Баимово
80 601 413 106;2;д Аслаево
80 601 413 111;7;д Большегабдиново
80 601 413 116;1;д Еникеево
80 601 413 121;6;д Муракаево
80 601 413 126;0;д Новобалапаново
80 601 413 131;5;д Рахметово
80 601 413 136;3;д Старобалапаново
80 601 413 141;4;д Туишево
80 601 413 146;9;д Яйкарово
80 601 416 000;0;Населенные пункты, входящие в состав сельского поселения Бурангуловский сельсовет Абзелиловского муниципального района
80 601 416 101;1;с Бурангулово
80 601 416 106;4;д Искаково
80 601 416 111;9;д Ишкильдино
80 601 416 116;3;д Майгашта
80 601 416 121;8;д Саиткулово
80 601 416 126;2;х Салават-совхоз
80 601 419 000;2;Населенные пункты, входящие в состав сельского поселения Гусевский сельсовет Абзелиловского муниципального района
80 601 419 101;1;с Гусево
80 601 419 106;6;д Борисово
80 601 419 111;0;д Идяш-Кускарово
80 601 419 116;5;д Таксырово
80 601 419 121;2;д Тал-Кускарово
80 601 419 126;4;д Юлдашево
80 601 422 000;8;Населенные пункты, входящие в состав сельского поселения Давлетовский сельсовет Абзелиловского муниципального района
80 601 422 101;7;с Давлетово
80 601 422 106;1;д Кушеево
80 601 422 111;6;д Селивановский
80 601 422 116;0;д Янги-Аул
80 601 425 000;7;Населенные пункты, входящие в состав сельского поселения Кирдасовский сельсовет Абзелиловского муниципального района
80 601 425 101;9;с Кирдасово
80 601 425 106;3;д Ахметово
80 601 428 000;1;Населенные пункты, входящие в состав сельского поселения Краснобашкирский сельсовет Абзелиловского муниципального района
80 601 428 101;0;с Красная Башкирия
80 601 428 106;5;д Озёрное
80 601 428 111;0;д Покровка
80 601 428 116;4;д Самарского отделения свх
80 601 431 000;7;Населенные пункты, входящие в состав сельского поселения Равиловский сельсовет Абзелиловского муниципального района
80 601 431 101;6;с Ишкулово
80 601 431 106;0;д Давлетшино
80 601 431 111;5;д Искужино
80 601 431 116;8;д Равилово
80 601 431 121;4;д Тепяново
80 601 434 000;9;Населенные пункты, входящие в состав сельского поселения Ташбулатовский сельсовет Абзелиловского муниципального района
80 601 434 101;8;с Ташбулатово
80 601 434 106;2;с Кусимовского рудника
80 601 434 111;7;д Аюсазово
80 601 434 116;1;д Биккулово
80 601 434 121;6;д Геологоразведка
80 601 434 126;0;д Зеленая Поляна
80 601 434 131;5;д Кусимово
80 601 434 136;9;д Ниязгулово
80 601 434 141;4;д Теляшево
80 601 434 146;9;д Улянды
80 601 434 151;3;д Якты-Куль
80 601 437 000;0;Населенные пункты, входящие в состав сельского поселения Таштимеровский сельсовет Абзелиловского муниципального района
80 601 437 101;7;с Михайловка
80 601 437 106;4;д Абзелилово
80 601 437 111;9;д Аумышево
80 601 437 116;3;д Елимбетово
80 601 437 121;8;д Кужаново
80 601 437 126;2;д Салаватово
80 601 437 131;7;д Самарское
80 601 437 136;1;д Таштимерово
80 601 437 141;6;д Тупаково
80 601 440 000;6;Населенные пункты, входящие в состав сельского поселения Халиловский сельсовет Абзелиловского муниципального района
80 601 440 101;5;с Халилово
80 601 440 106;5;д Абдулмамбетово
80 601 440 111;4;д Ишбулдино
80 601 440 116;9;д Калмаково
80 601 440 121;3;д Махмутово
80 601 440 126;8;д Хусаиново
80 601 443 000;8;Населенные пункты, входящие в состав сельского поселения Хамитовский сельсовет Абзелиловского муниципального района
80 601 443 101;7;с Хамитово
80 601 443 106;1;д Шарипово
80 601 443 111;6;кордон Крутой Лог
80 601 446 000;2;Населенные пункты, входящие в состав сельского поселения Янгильский сельсовет Абзелиловского муниципального района
80 601 446 101;9;с Янгельское
80 601 446 106;3;д Таштуй
80 601 446 111;8;д Авняш
80 601 446 116;2;д Первомайский
80 601 446 121;7;д Атавды
80 602 404 000;4;Населенные пункты, входящие в состав сельского поселения Абдрашитовский сельсовет Альшеевского муниципального района
80 602 404 101;3;с Абдрашитово
80 602 404 106;8;с Крымский
80 602 404 111;2;д Абдулкаримово
80 602 404 116;7;д Балкан
80 602 404 121;1;д Игенче
80 602 404 126;6;д Красная Звезда
80 602 404 131;0;д Линда
80 602 404 136;5;д Малоабдрашитово
80 602 404 141;9;д Михайловка
80 602 404 146;4;д Николаевка
80 602 404 151;9;д Сартбаш
80 602 406 000;9;Населенные пункты, входящие в состав сельского поселения Аксеновский сельсовет Альшеевского муниципального района
80 602 406 101;8;с Аксеново
80 602 406 106;2;с Кайраклы
80 602 406 111;7;с Ким
80 602 406 116;1;д Андриановка
80 602 406 121;6;д Бикчагул
80 602 406 126;0;д рзд Гайны
80 602 406 131;5;д Ханжарово
80 602 406 136;9;д Ярабайкуль
80 602 413 000;3;Населенные пункты, входящие в состав сельского поселения Воздвиженский сельсовет Альшеевского муниципального района
80 602 413 101;2;с Воздвиженка
80 602 413 106;7;с санатория им Чехова
80 602 413 111;1;д Бугульминка
80 602 413 116;6;д Клиновка
80 602 413 121;0;д Нововоздвиженка
80 602 413 126;5;д Осоргино
80 602 413 131;6;д Самодуровка
80 602 413 136;4;д Степановка
80 602 413 141;9;д Челноковка
80 602 416 000;5;Населенные пункты, входящие в состав сельского поселения Гайниямакский сельсовет Альшеевского муниципального района
80 602 416 101;4;с Гайниямак
80 602 416 106;9;д Айтуган
80 602 416 111;3;д Буданьяр
80 602 416 116;8;д Иршат
80 602 416 121;2;д Тукмакбаш
80 602 418 000;2;Населенные пункты, входящие в состав сельского поселения Зеленоклиновский сельсовет Альшеевского муниципального района
80 602 418 101;9;д Зелёный Клин
80 602 418 106;3;с Новоконстантиновка
80 602 418 111;8;д Красный Клин
80 602 419 000;7;Населенные пункты, входящие в состав сельского поселения Ибраевский сельсовет Альшеевского муниципального района
80 602 419 101;6;с Новосепяшево
80 602 419 106;0;д Акберда
80 602 419 111;5;д Ибраево
80 602 419 116;0;д Старосепяшево
80 602 419 121;4;д Шишма
80 602 422 000;2;Населенные пункты, входящие в состав сельского поселения Казанский сельсовет Альшеевского муниципального района
80 602 422 101;1;с Казанка
80 602 422 106;6;с Урняк
80 602 422 111;0;д Малоаккулаево
80 602 422 116;5;д Староаккулаево
80 602 422 121;3;д Фань
80 602 428 000;6;Населенные пункты, входящие в состав сельского поселения Кармышевский сельсовет Альшеевского муниципального района
80 602 428 101;5;с Кармышево
80 602 428 106;8;с Дим
80 602 428 111;4;с Михайловка
80 602 428 116;9;д Григорьевка
80 602 428 121;3;д Хусаин
80 602 428 126;8;д Уваровка
80 602 428 131;2;д Чураево
80 602 431 000;1;Населенные пункты, входящие в состав сельского поселения Кипчак-Аскаровский сельсовет Альшеевского муниципального района
80 602 431 101;0;с Кипчак-Аскарово
80 602 431 106;5;с Отрада
80 602 431 111;0;д Новый Кипчак
80 602 437 000;5;Населенные пункты, входящие в состав сельского поселения Кызыльский сельсовет Альшеевского муниципального района
80 602 437 101;4;с Тавричанка
80 602 437 106;9;с Уразметово
80 602 437 111;3;д Мурзагулово
80 602 437 116;8;д Орловка
80 602 437 121;2;д Писаревка
80 602 437 126;7;д Сулпан
80 602 437 131;1;д Ярташлы
80 602 440 000;0;Населенные пункты, входящие в состав сельского поселения Мендяновский сельсовет Альшеевского муниципального района
80 602 440 101;8;с Мендяново
80 602 440 106;4;с Старая Васильевка
80 602 443 000;2;Населенные пункты, входящие в состав сельского поселения Нигматуллинский сельсовет Альшеевского муниципального района
80 602 443 101;1;с Нигматуллино
80 602 443 106;6;с Байдаковка
80 602 443 111;0;с Нефорощанка
80 602 443 116;5;д Беляковка
